time,MB,MB_err,SMB,SMB_err,D,D_err,BMB,BMB_err
1840,99.833454,136.344150,515.317752,110.867988,393.080706,78.117210,22.403592,13.988520
1841,111.620285,130.168490,524.962345,103.732635,392.006715,77.443510,21.335710,13.634940
1842,-101.661625,130.074685,312.836025,102.580695,392.006715,78.743640,22.491300,14.002495
1843,-115.031575,135.530340,300.261775,110.019030,392.006715,77.843550,23.286635,14.304350
1844,-171.114516,135.046680,245.534760,109.418262,393.080706,77.826240,23.568570,14.432844
1845,-105.649980,151.409300,320.293705,127.227320,400.782775,80.673760,25.161275,15.157720
1846,83.571495,131.225895,502.706470,102.765385,397.696335,80.453665,21.438640,13.664140
1847,177.530160,134.990870,597.917450,107.948020,398.744980,79.883535,21.642675,13.724000
1848,-150.983784,151.937946,284.015268,126.004650,409.592064,83.511684,25.406988,15.289284
1849,53.539660,139.088360,482.473790,111.105270,406.286245,82.483795,22.647520,14.059070
1850,-53.961235,143.737000,377.848365,116.969360,407.848080,82.253845,23.961520,14.589780
1851,33.953395,139.321230,457.608895,112.973705,400.611590,80.283575,23.043910,14.208355
1852,-72.301470,151.290858,366.241194,124.616778,413.574510,84.454500,24.968520,15.068952
1853,-85.665135,146.248565,359.120580,116.407625,420.722360,87.313840,24.063355,14.635040
1854,-8.964035,150.805225,433.079070,123.219985,417.613655,85.673530,24.429450,14.802210
1855,71.459335,138.013070,509.729435,107.512575,416.074085,85.413650,22.196380,13.900660
1856,105.107880,148.447770,544.459038,121.133922,415.752210,84.584796,23.598948,14.445654
1857,-164.871230,153.402200,283.306065,125.122000,422.752855,87.423705,25.424805,15.292405
1858,-164.079545,143.699405,280.112315,114.048265,420.075215,86.183800,24.116645,14.658765
1859,-29.712460,131.366785,405.689470,100.930895,413.314685,82.933840,22.087245,13.864160
1860,-28.303512,142.637886,407.890896,115.207284,412.321692,82.829826,23.872716,14.562042
1861,55.700825,130.423260,486.419805,100.175710,409.127405,82.383785,21.591575,13.709035
1862,63.442475,131.808435,490.048270,103.703070,404.441900,80.163490,22.163895,13.889710
1863,137.706470,122.692560,546.231990,96.232250,387.931125,74.913695,20.594395,13.446235
1864,94.661508,124.469646,496.337358,100.778466,380.096856,71.749542,21.578994,13.725366
1865,-1.400140,121.047140,398.265005,97.160080,377.912970,70.873510,21.752540,13.757580
1866,-44.378160,119.924765,349.823665,96.948745,372.096695,69.213490,22.105130,13.870000
1867,-67.328265,133.404580,336.580370,111.200170,380.002595,72.243720,23.906040,14.565325
1868,144.240966,122.227530,543.150954,98.684946,377.672838,70.816974,21.237150,13.629474
1869,35.113000,127.860595,440.770715,104.339265,383.156195,72.563825,22.501885,14.006510
1870,-10.599235,129.802030,400.873660,105.441930,388.414385,74.353785,23.058510,14.213830
1871,-61.552140,141.999235,360.909810,117.894635,397.926650,77.743540,24.535300,14.851850
1872,-38.930322,151.329654,396.807684,126.496920,410.278314,81.636666,25.459692,15.316368
1873,70.370540,132.788825,497.021230,105.719330,404.196620,79.123605,22.454070,13.989355
1874,-57.403550,135.024450,376.962145,106.339830,411.150235,81.973525,23.215095,14.275880
1875,51.378130,133.840755,484.730950,105.121460,410.919920,81.653785,22.432900,13.982055
1876,20.354724,135.329964,454.268586,106.971918,411.076194,81.676926,22.838034,14.144802
1877,-250.266265,140.563325,186.356225,113.523760,411.603930,81.503770,25.018195,15.086180
1878,60.412975,136.145365,488.209035,110.542075,404.486430,78.173510,23.309265,14.313475
1879,4.332550,136.550880,435.453395,109.461675,407.721790,80.363510,23.399055,14.349975
1880,16.979106,138.879432,451.015944,112.577940,410.322966,80.022240,23.713872,14.493966
1881,-30.837755,131.299260,402.344975,102.673405,410.399065,80.613535,22.783665,14.109075
1882,-66.366855,128.693160,366.210340,99.367235,409.938070,80.563530,22.639125,14.055785
1883,-43.163440,134.439720,385.440000,107.492500,405.021885,79.443710,23.581190,14.425895
1884,19.550988,127.535994,443.839416,99.980586,402.097116,77.946654,22.191678,13.916784
1885,-40.865400,130.972585,382.446635,104.203120,400.157895,78.053790,23.154140,14.251425
1886,-38.176810,127.641230,382.246250,101.136755,397.540115,76.573715,22.882945,14.146305
1887,-38.375370,128.628920,382.764550,102.203650,398.172295,76.803665,22.967990,14.178790
1888,-51.799980,150.426366,384.182148,126.519612,410.106660,79.871814,25.875468,15.534504
1889,187.334790,136.800175,616.411270,111.070230,406.286245,78.603845,22.789870,14.111630
1890,-36.582125,130.784975,396.392190,102.970515,409.811780,79.363775,23.162900,14.255075
1891,-46.311565,139.517965,391.058445,112.707255,413.217960,80.913565,24.152050,14.674825
1892,-128.004840,138.362640,315.352920,109.683978,419.041086,83.040642,24.317040,14.760048
1893,-37.240950,141.847760,409.919820,113.663190,422.767455,83.563830,24.393315,14.785420
1894,-42.268825,130.395155,394.017865,101.597385,413.262490,80.493815,23.023835,14.200690
1895,98.990920,139.450440,538.272435,112.809455,415.761645,80.703690,23.520235,14.400345
1896,34.675572,137.466672,476.904222,109.030668,418.526490,82.459068,23.702160,14.489208
1897,-40.430320,135.278125,399.452350,107.331170,416.103650,81.053725,23.779020,14.509845
1898,193.950780,134.403950,626.661200,107.775010,410.191015,79.073600,22.519770,14.012715
1899,-55.764335,134.430230,376.811765,107.695805,408.636480,79.123605,23.939620,14.579925
1900,-225.202080,146.352225,220.618045,120.468250,419.591955,81.603780,26.228535,15.723105
1901,157.381430,132.631875,595.543125,104.391095,415.761645,80.613535,22.400050,13.970375
1902,-77.946115,145.433520,369.671635,119.422160,422.120675,81.573485,25.497075,15.330000
1903,-157.164985,130.184550,287.753955,99.392420,421.361840,82.833830,23.557100,14.415675
1904,-307.729506,139.142220,148.704702,108.952710,431.286714,85.206630,25.147494,15.157890
1905,-59.594280,134.889765,393.549570,104.379050,429.408995,84.203675,23.734855,14.490865
1906,-187.300845,138.516770,261.953200,109.734330,424.470545,83.193720,24.783135,14.970840
1907,-157.677445,133.238505,295.663140,102.409145,429.476155,83.983580,23.864795,14.547075
1908,-171.656928,143.874234,284.987730,116.301990,430.980738,83.281104,25.663920,15.422508
1909,-124.562455,139.377805,333.603795,108.780585,433.522180,85.853840,24.644435,14.904045
1910,-98.094845,135.519390,356.411915,105.825180,430.353615,83.373665,24.152780,14.675190
1911,56.830865,140.670270,512.638850,111.370990,431.685135,84.673795,24.122850,14.661685
1912,-157.154178,140.747862,301.973058,111.453222,433.956318,84.604926,25.170552,15.169236
1913,-96.549070,133.181565,359.220955,101.392255,432.101600,85.133695,23.668425,14.462760
1914,-13.025390,121.009545,428.028930,89.692545,419.227320,80.053625,21.827000,13.780575
1915,-45.968100,136.158140,397.027655,109.189385,418.550610,79.983545,24.445145,14.809510
1916,122.115900,137.503272,564.780456,110.805402,418.727790,80.102394,23.936766,14.589858
1917,-150.216845,135.325575,294.776920,108.672180,420.127410,79.233835,24.866355,15.011355
1918,-8.054455,123.942320,426.657990,95.818705,411.990830,77.343500,22.721615,14.086080
1919,-13.302790,121.266870,416.993155,93.542200,407.840780,75.893720,22.455165,13.989720
1920,-59.615544,128.120862,378.380682,100.289490,414.491706,78.418062,23.504154,14.406492
1921,-83.023265,127.223305,351.061015,100.069130,410.481190,77.223780,23.603090,14.435020
1922,95.833670,121.853790,522.236890,94.911680,404.330210,75.153500,22.073010,13.859415
1923,-133.144335,134.503595,297.753495,110.439875,405.646765,75.253510,25.251065,15.203345
1924,-251.820444,131.012628,187.487160,103.771614,414.312732,78.538110,24.994872,15.082128
1925,39.109020,125.111780,475.801955,97.368130,413.999060,77.293495,22.694240,14.075860
1926,-336.383635,139.363205,114.053375,112.455040,424.054080,80.783625,26.382930,15.808880
1927,-82.902815,140.994390,373.434055,113.100725,430.770080,82.773605,25.566790,15.366135
1928,-290.711604,152.936028,187.654788,124.524912,450.736320,87.232074,27.630072,16.539906
1929,-186.823060,145.644490,291.115240,114.869515,451.966725,88.173780,25.971575,15.581850
1930,-132.559970,143.037660,346.295210,111.502025,453.484030,88.283645,25.371515,15.265030
1931,-519.638820,155.847335,-17.860910,124.152560,473.289660,92.643570,28.487885,17.078715
1932,-104.038794,149.218200,394.543974,115.240590,472.684608,93.508974,25.898526,15.546948
1933,-185.344810,147.879020,313.153575,113.497115,472.583020,93.513730,25.915365,15.551920
1934,-169.316200,143.462520,321.313880,109.472625,465.227540,91.453670,25.402540,15.280725
1935,-368.152505,146.180675,125.707825,112.793760,467.287600,91.613540,26.572730,15.916190
1936,-238.481574,151.322700,261.513954,117.742932,473.199204,93.689778,26.796324,16.046172
1937,-185.678420,139.446425,299.776690,105.397035,460.348585,90.043675,25.106525,15.130345
1938,-98.875215,135.632905,380.457020,102.458785,455.053165,87.643800,24.279070,14.732495
1939,-36.855510,149.133160,446.505960,120.060910,456.905175,87.033520,26.456295,15.850490
1940,-34.868454,138.692040,444.258486,106.015194,454.674114,88.184772,24.453192,14.822634
1941,-82.944425,145.714205,394.552955,116.022915,451.490765,86.763785,26.006615,15.601195
1942,-34.655290,139.965090,436.088860,109.317500,445.711720,86.093645,25.032065,15.093115
1943,-193.463870,133.232665,275.999130,102.125540,444.663075,84.243825,24.799925,14.978870
1944,-57.719298,134.730822,413.105298,104.278524,446.343954,84.013104,24.481008,14.835444
1945,136.600520,135.888770,598.017825,107.768440,437.263065,81.463620,24.154240,14.675920
1946,80.569005,134.799245,542.218815,106.429985,437.263065,81.393540,24.386745,14.782500
1947,18.700410,136.381885,477.039305,108.902130,433.447720,80.713545,24.891175,15.023400
1948,-243.595326,138.834048,222.077454,110.928012,439.229280,81.967530,26.443866,15.845970
1949,-333.214340,135.855920,135.556985,106.324500,442.625280,83.103565,26.145680,15.677115
1950,-280.863485,136.354510,192.375805,106.067540,447.422475,84.273755,25.816815,15.498630
1951,-253.884510,135.401495,223.912170,103.866955,452.234270,85.493585,25.562410,15.363945
1952,-129.789090,139.055844,353.112774,107.785536,457.321758,86.500074,25.580106,15.378588
1953,-87.433925,134.570025,392.914470,102.982195,455.596285,85.323495,24.752475,14.955875
1954,-9.866315,134.087860,463.160545,103.626785,448.679535,83.803635,24.347325,14.764250
1955,-49.817025,126.445125,413.548285,95.335080,439.814050,81.803800,23.551260,14.413120
1956,-72.053322,127.653480,387.334140,98.641758,435.201816,79.681494,24.185646,14.700390
1957,-243.733495,138.530640,221.186715,111.944770,438.148190,80.013840,26.772020,16.030435
1958,-232.114815,133.303110,233.025125,104.469570,439.293560,81.333680,25.846745,15.514690
1959,-10.596315,129.201970,451.689690,100.027520,437.932475,80.433590,24.353530,14.767170
1960,-218.231526,145.725828,258.914988,117.870666,449.655156,84.093258,27.491724,16.455726
1961,-216.000065,133.929815,263.909600,102.275190,454.562240,85.113620,25.347060,15.252255
1962,-328.831420,132.466530,156.475135,100.380840,459.686475,85.053760,25.619715,15.394240
1963,-35.479095,128.259540,437.961675,96.410370,449.616490,83.333515,23.824280,14.529555
1964,45.685584,126.943806,512.215536,96.656940,442.928076,81.015198,23.601876,14.446752
1965,-185.215600,127.676635,283.874735,98.024035,444.053160,80.403660,25.036810,15.095305
1966,-307.915095,125.019435,153.498925,95.602625,436.273915,79.123605,25.140105,15.147135
1967,-130.694455,122.699130,325.945365,93.730905,432.421340,77.803765,24.218480,14.705120
1968,-265.155288,127.064952,193.187976,99.328740,432.867834,77.746086,25.475796,15.324420
1969,-145.991605,122.192145,310.796040,92.704160,432.674285,78.243590,24.113725,14.657305
1970,-40.878175,116.266735,411.525090,86.164090,429.729100,76.783590,22.674165,14.068560
1971,-211.076215,124.356595,243.526175,96.667330,429.602445,76.763515,24.999945,15.077055
1972,230.561334,120.062274,673.816980,93.313530,420.927816,74.246394,22.327830,13.962534
1973,-31.276485,118.236275,409.133975,90.828060,417.003740,74.323490,23.406720,14.353260
1974,-161.409205,122.649855,278.808170,97.117740,415.307950,73.383615,24.909425,15.032160
1975,33.472325,124.689110,475.316870,99.484400,417.182225,73.673790,24.662685,14.912440
1976,147.687954,125.326086,594.223692,99.814056,422.560908,74.366808,23.974830,14.606694
1977,-16.995860,127.565675,430.804755,102.819040,422.484945,73.953745,25.315670,15.236195
1978,29.773780,127.099570,485.533585,100.081905,431.000760,76.903675,24.759045,14.958795
1979,-47.218590,122.991130,410.438120,94.570040,433.514515,77.253710,24.142560,14.670445
1980,-112.890504,124.091568,346.170852,95.513922,434.224962,77.786346,24.836394,15.004536
1981,-220.551980,121.970590,238.927905,94.037505,434.414605,76.193750,25.065280,15.109540
1982,-144.361150,118.622810,314.424505,89.031895,434.771575,77.013540,24.014445,14.613140
1983,199.678360,120.539790,648.499515,93.222460,426.055010,75.103495,22.766145,14.102505
1984,71.392692,123.739110,521.320152,97.367346,425.581506,74.918370,24.345954,14.773224
1985,-90.657970,127.174030,364.672230,101.210850,429.654640,75.443675,25.675195,15.423440
1986,51.375085,78.733036,520.576882,46.851922,448.544125,41.930363,20.657715,5.291483
1987,-48.879646,91.566262,422.429172,38.018629,448.440563,40.878367,22.868255,5.467809
1988,-106.585182,79.866685,354.293344,31.886404,438.613727,39.482462,22.264798,5.422476
1989,-164.666794,75.089411,299.074902,26.916747,441.366871,40.174059,22.374824,5.437692
1990,-136.640395,83.567084,329.673539,29.670622,443.916266,41.374528,22.397659,5.419650
1991,-75.640145,87.497704,388.649066,34.978422,441.834301,40.863529,22.454906,5.451795
1992,88.130347,77.106579,551.984254,49.678577,444.777250,41.015561,19.076668,5.175368
1993,-89.946710,85.392996,375.554798,33.799939,444.058809,40.781020,21.442685,5.322525
1994,-113.375312,72.908903,347.068659,31.236183,439.502038,40.256375,20.941940,5.299588
1995,-211.661997,76.046707,238.106962,21.429620,427.307824,39.061894,22.461152,5.424642
1996,132.838084,83.850453,583.959379,52.556338,430.450554,39.206940,20.670738,5.289315
1997,8.296517,80.075226,457.282601,41.155430,427.350303,38.701853,21.635781,5.362347
1998,-240.883428,81.539107,211.190066,19.007110,428.699444,38.854822,23.374062,5.497852
1999,-45.825461,84.958779,410.212411,36.919120,433.961096,38.914864,22.076791,5.420844
2000,-76.238055,77.506164,383.314097,34.498259,437.368344,39.332459,22.183797,5.445971
2001,-25.064284,84.651317,427.089960,38.438090,430.789158,38.613329,21.365115,5.311742
2002,-141.190685,82.896082,325.728245,29.315541,444.417326,39.881653,22.501613,5.428537
2003,-165.857614,94.439562,315.996651,28.439700,458.009090,41.219249,23.845172,5.539990
2004,-164.342584,83.447189,330.575748,29.751814,471.515417,42.607988,23.402903,5.535789
2005,-166.786267,94.597416,337.215132,30.349358,480.513335,43.289641,23.488051,5.521600
2006,-238.176004,76.241751,258.270879,23.244380,474.132803,42.937400,22.314090,5.435772
2007,-255.713132,94.948813,236.232698,21.260930,467.460170,42.570182,24.485667,5.643954
2008,-199.758431,96.767330,297.695693,26.792614,473.883601,43.326362,23.570544,5.531232
2009,-241.695181,84.837154,256.996387,23.129681,476.837474,44.052967,21.854107,5.379059
2010,-375.559767,93.121438,131.792658,11.861337,480.796653,44.298071,26.555773,5.815030
2011,-335.151777,93.656961,175.636759,15.807310,486.899062,45.056893,23.889483,5.566810
2012,-428.394585,109.452986,86.788136,7.810939,485.826843,45.166350,29.355867,6.220890
2013,-106.766923,88.056625,407.651480,36.688639,492.621170,45.868468,21.797243,5.369568
2014,-183.346734,93.262005,331.886459,29.869792,491.371939,45.947334,23.861267,5.555324
2015,-213.527752,95.078808,304.030049,27.362694,494.407200,46.224381,23.150602,5.512023
2016,-258.580609,101.680928,253.243989,22.791962,486.506297,45.587436,25.318321,5.708695
2017,-105.955020,90.794297,412.668788,37.140205,496.176211,46.519117,22.447601,5.428814
2018,-81.050677,82.682334,437.120942,39.340889,496.317421,46.640824,21.854191,5.394568
2019,-433.585049,99.836340,96.185531,8.656706,503.008645,47.335168,26.761940,5.858340
2020,-196.240427,89.471325,342.850313,30.856525,515.222740,48.336163,23.868009,5.593365
2021,-217.786352,88.195437,325.413457,29.287215,517.559822,48.527527,25.640000,5.822964
2022,-76.196623,90.834871,461.226890,41.510417,514.153179,48.103037,23.270332,5.520659
